sep=,
DeviceTag:,A
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_265 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
261,588263851,1.000000,-0.000043,-0.000010,0.000201,0.157601,0.045696,-0.029108,0
262,588280518,1.000000,0.000105,0.000062,0.000231,0.157333,0.045402,-0.028247,0
263,588297185,1.000000,0.000350,0.000282,0.000263,0.157876,0.045158,-0.027419,0
264,588313852,0.999999,0.000725,0.000809,0.000283,0.159468,0.044834,-0.026574,0
265,588330519,0.999999,0.000983,0.001251,0.000083,0.159242,0.046171,-0.027841,0
266,588347186,0.999999,0.000863,0.001256,-0.000089,0.157289,0.047240,-0.029634,0
267,588363853,0.999999,0.000553,0.000936,-0.000176,0.156110,0.047823,-0.030118,0
268,588380520,1.000000,0.000184,0.000534,-0.000317,0.154805,0.048234,-0.030276,0
269,588397187,1.000000,-0.000063,0.000283,-0.000135,0.153777,0.047532,-0.029612,0
270,588413854,1.000000,-0.000087,0.000003,-0.000011,0.153018,0.047193,-0.029074,0
271,588430521,1.000000,0.000074,-0.000179,0.000110,0.153271,0.045897,-0.028734,0
272,588447188,1.000000,0.000213,-0.000132,0.000161,0.154431,0.047706,-0.028406,0
273,588463855,1.000000,0.000115,-0.000003,0.000183,0.154773,0.047906,-0.028461,0
274,588480522,1.000000,0.000110,0.000092,0.000230,0.155073,0.047869,-0.027515,0
275,588497189,1.000000,0.000096,0.000060,0.000292,0.155428,0.047806,-0.028514,0
276,588513856,1.000000,0.000053,0.000028,0.000281,0.155922,0.046820,-0.028768,0
277,588530523,1.000000,0.000083,-0.000040,0.000296,0.155862,0.046421,-0.028977,0
278,588547190,1.000000,0.000158,-0.000373,0.000342,0.155838,0.045586,-0.029152,0
279,588563857,1.000000,0.000205,-0.000698,0.000399,0.157729,0.045509,-0.028760,0
280,588580524,1.000000,0.000256,-0.000671,0.000347,0.159840,0.045274,-0.028107,0
281,588597191,1.000000,0.000314,-0.000414,0.000169,0.160198,0.045464,-0.027955,0
282,588613858,1.000000,0.000421,-0.000117,-0.000028,0.158812,0.045604,-0.029246,0
283,588630525,1.000000,0.000336,0.000041,-0.000083,0.158048,0.045584,-0.030042,0
284,588647192,1.000000,0.000211,0.000030,-0.000099,0.156301,0.045874,-0.030433,0
285,588663859,1.000000,0.000153,-0.000014,-0.000093,0.155506,0.046140,-0.030420,0
286,588680526,1.000000,0.000063,0.000034,-0.000066,0.154338,0.046848,-0.029707,0
287,588697193,1.000000,-0.000010,0.000008,-0.000001,0.153694,0.047148,-0.030223,0
288,588713860,1.000000,0.000009,-0.000020,0.000061,0.154620,0.047509,-0.029345,0
289,588730527,1.000000,-0.000025,0.000078,0.000007,0.155079,0.047371,-0.029256,0
