sep=,
DeviceTag:,B
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Inertial data Mode - High Fidelity
StartTime: ,2024-09-12_16:23:48_281 EDT
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Status
252,588130515,1.000000,0.000491,0.000489,0.000167,-0.152511,0.035311,0.017250,0
253,588147182,1.000000,0.000391,0.000441,0.000176,-0.152390,0.034208,0.016784,0
254,588163849,1.000000,0.000414,0.000464,0.000206,-0.152247,0.033843,0.016429,0
255,588180516,1.000000,0.000479,0.000467,0.000238,-0.152169,0.034135,0.016368,0
256,588197183,1.000000,0.000497,0.000447,0.000232,-0.152247,0.034380,0.016664,0
257,588213850,1.000000,0.000419,0.000420,0.000222,-0.152621,0.034573,0.016491,0
258,588230517,1.000000,0.000391,0.000457,0.000203,-0.152086,0.034533,0.016499,0
259,588247184,1.000000,0.000454,0.000497,0.000222,-0.152559,0.034344,0.016363,0
260,588263851,1.000000,0.000503,0.000475,0.000209,-0.152410,0.033257,0.016240,0
261,588280518,1.000000,0.000607,0.000475,0.000173,-0.152149,0.033453,0.016421,0
262,588297185,1.000000,0.000634,0.000565,0.000171,-0.151387,0.034848,0.016205,0
263,588313852,1.000000,0.000654,0.000600,0.000200,-0.151902,0.034723,0.016391,0
264,588330519,1.000000,0.000673,0.000574,0.000154,-0.151933,0.032990,0.015840,0
265,588347186,1.000000,0.000615,0.000576,0.000140,-0.152338,0.034153,0.016005,0
266,588363853,1.000000,0.000575,0.000563,0.000135,-0.152693,0.034695,0.016088,0
267,588380520,1.000000,0.000661,0.000546,0.000138,-0.152991,0.033600,0.016711,0
268,588397187,1.000000,0.000714,0.000601,0.000156,-0.152544,0.034213,0.016334,0
269,588413854,1.000000,0.000698,0.000602,0.000157,-0.152386,0.035028,0.016634,0
270,588430521,1.000000,0.000617,0.000525,0.000117,-0.152117,0.035164,0.016268,0
271,588447188,1.000000,0.000569,0.000428,0.000086,-0.152530,0.035151,0.016669,0
272,588463855,1.000000,0.000563,0.000397,0.000026,-0.153345,0.034973,0.017030,0
273,588480522,1.000000,0.000572,0.000420,-0.000010,-0.153748,0.034284,0.017357,0
274,588497189,1.000000,0.000405,0.000424,0.000019,-0.153067,0.034733,0.017089,0
